"RDDLPUNC1/2""LBProtrusion=118mm";"RDDLPUNC1/2""LBProtrusion=118mm";73269090;Z10231201L;1.05;PC;425.97;0;707;693
"RDDLPUNC1/2""";"RDDLPUNC1/2""";73269090;Z1023121;1.05;PC;71.84;0;119;117
"RDDLPUNC5/8""LBProtrusion=158mm";"RDDLPUNC5/8""LBProtrusion=158mm";73269090;Z10231601L;1.05;PC;446.2;0;740;726
"RDDLP-UNC5/8""";"RDDLP-UNC5/8""";73269090;Z1023161;1.05;PC;74.87;0;124;122
"RDDLPUNC3/4""LBProtrusion=198mm";"RDDLPUNC3/4""LBProtrusion=198mm";73269090;Z10232001L;1.05;PC;781.11;0;1296;1271
"RDDLP-UNC3/4""";"RDDLP-UNC3/4""";73269090;Z1023201;1.05;PC;127.49;0;212;207
"RDDLPUNC7/8""LBProtrusion=238mm";"RDDLPUNC7/8""LBProtrusion=238mm";73269090;Z10232101L;1.05;PC;801.35;0;1329;1304
"RDDLP-UNC7/8""";"RDDLP-UNC7/8""";73269090;Z1023211;1.05;PC;127.49;0;212;207
"RDDLPUNC1""LBProtrusion=238mm";"RDDLPUNC1""LBProtrusion=238mm";73269090;Z10232401L;1.05;PC;949.07;0;1575;1545
"RDDLP-UNC1""";"RDDLP-UNC1""";73269090;Z1023241;1.05;PC;131.53;0;218;214
"RDDLPUNC11/4""LBProtrusion=295mm";"RDDLPUNC11/4""LBProtrusion=295mm";73269090;Z10233001L;1.05;PC;2667.11;0;4425;4341
"RDDLP-UNC11/4""";"RDDLP-UNC11/4""";73269090;Z1023301;1.05;PC;652.61;0;1083;1062
"RDDLPUNC11/2""LBProtrusion=295mm";"RDDLPUNC11/2""LBProtrusion=295mm";73269090;Z10233601L;1.05;PC;3136.59;0;5204;5105
"RDDLPUNC11/2""";"RDDLPUNC11/2""";73269090;Z1023361;1.05;PC;666.78;0;1106;1085
"RDDLPUNC13/4""LBProtrusion=293mm";"RDDLPUNC13/4""LBProtrusion=293mm";73269090;Z10234201L;1.05;PC;4790.88;0;7948;7797
"RDDLP-UNC13/4""";"RDDLP-UNC13/4""";73269090;Z1023421;1.05;PC;1842.49;0;3057;2999
"RDDLPUNC2""LBProtrusion=293mm";"RDDLPUNC2""LBProtrusion=293mm";73269090;Z10234801L;1.05;PC;4955.81;0;8222;8066
"RDDLP-UNC2""";"RDDLP-UNC2""";73269090;Z1023481;1.05;PC;1925.46;0;3194;3134
RDRLPV2-M8LBProtrusion=101mm;RDRLPV2-M8LBProtrusion=101mm;73269090;Z10170801L;1.05;PC;153.79;0;255;250
RDRLPV2-M8x1,25;RDRLPV2-M8x1,25;73269090;Z1017081;1.05;PC;69;0;114;112
RDRLPV2-M10LBProtrusion=101mm;RDRLPV2-M10LBProtrusion=101mm;73269090;Z10171001L;1.05;PC;194.27;0;322;316
RDRLPV2-M10x1,5;RDRLPV2-M10x1,5;73269090;Z1017101;1.05;PC;71.98;0;119;117
RDRLPV2-M12LBProtrusion=120mm;RDRLPV2-M12LBProtrusion=120mm;73269090;Z10171201L;1.05;PC;309.61;0;514;504
RDRLPV2-M12x1,75;RDRLPV2-M12x1,75;73269090;Z1017121;1.05;PC;76.55;0;127;125
RDRLPV2-M16LBProtrusion=160mm;RDRLPV2-M16LBProtrusion=160mm;73269090;Z10171601L;1.05;PC;353.12;0;586;575
RDRLPV2-M16x2;RDRLPV2-M16x2;73269090;Z1017161;1.05;PC;80.26;0;133;131
RDRLPV2-M20LBProtrusion=200mm;RDRLPV2-M20LBProtrusion=200mm;73269090;Z10172001L;1.05;PC;644.52;0;1069;1049
RDRLPV2-M20x2,5;RDRLPV2-M20x2,5;73269090;Z1017201;1.05;PC;135.21;0;224;220
RDRLPV2-M24LBProtrusion=240mm;RDRLPV2-M24LBProtrusion=240mm;73269090;Z10172401L;1.05;PC;794.26;0;1318;1293
RDRLPV2-M24x3;RDRLPV2-M24x3;73269090;Z1017241;1.05;PC;141.08;0;234;230
RDRLPV2-M30LBProtrusion=300mm;RDRLPV2-M30LBProtrusion=300mm;73269090;Z10173001L;1.05;PC;2380.77;0;3950;3875
RDRLPV2-M30x3,5;RDRLPV2-M30x3,5;73269090;Z1017301;1.05;PC;520.88;0;864;848
RDRLPV2-M36LBProtrusion=300mm;RDRLPV2-M36LBProtrusion=300mm;73269090;Z10173601L;1.05;PC;2614.5;0;4337;4255
RDRLPV2-M36x4;RDRLPV2-M36x4;73269090;Z1017361;1.05;PC;540.05;0;896;879
RDRLPV2-M42LBProtrusion=301mm;RDRLPV2-M42LBProtrusion=301mm;73269090;Z10174201L;1.05;PC;4.287;0;7112;6977
RDRLPV2-M42x4,5;RDRLPV2-M42x4,5;73269090;Z1017421;1.05;PC;1358.2;0;2253;2210
