ref_prod;desc_prod;ncm;sap;ipi;tipo; valor_custo ;carga_trabalho;comprimento;valor_venda
G-2150 1T ;MANILHA CROSBY G-2150 1 TN;73269090;1019772;1.05;UN;96.81;0;0;161
G-2150 1.5 ;MANILHA CROSBY G-2150 1.5 TN;73269090;1019774;1.05;UN;124.62;0;0;207
G-2150 2T ;MANILHA CROSBY G-2150 2.00 TN;73269090;1019775;1.05;UN;84.96;0;0;141
G-2150 3.25T ;MANILHA CROSBY G-2150 3.25 TN;73269090;1019793;1.05;UN;129.88;0;0;215
G-2150 4.75T ;MANILHA CROSBY G-2150 4.75 TN;73269090;1019819;1.05;UN;180.77;0;0;300
G-2150 6.50T ;MANILHA CROSBY G-2150 6.50 TN;73269090;1019837;1.05;UN;257.5;0;0;427
G-2150 8.50T ;MANILHA CROSBY G-2150 8.50 TN;73269090;1019855;1.05;UN;398.02;0;0;660
G-2150 55.0T ;MANILHA CROSBY G-2150 55.00 TN;73269090;1019999;1.05;UN;12332.79;0;0;20460
G-2160 7T ;MANILHA CROSBY G-2160 7.00 TN;73269090;1021256;1.05;UN;1702.34;0;0;2824
G-2160 12.50T ;MANILHA CROSBY G-2160 12.50 TN;73269090;1021265;1.05;UN;2224.58;0;0;3691
G-2160 18T ;MANILHA CROSBY G-2160 18.00 TN;73269090;1021274;1.05;UN;4259.52;0;0;7067
G-2160 30T ;MANILHA CROSBY G-2160 30.00 TN;73269090;1021283;1.05;UN;9098.14;0;0;15094
G-2160 40T ;MANILHA CROSBY G-2160 40.00 TN;73269090;1021285;1.05;UN;12407.23;0;0;20584
G-2160 55T ;MANILHA CROSBY G-2160 55.00 TN;73269090;1021287;1.05;UN;16535.07;0;0;27432
75T STEEL SLING SHK;MANILHA CROSBY G-2160 75 TN;73269090;1022101;1.05;UN;19237.66;0;0;31915
125T STEEL SLING SH;MANILHA CROSBY G-2160 125 TN;73269090;1022110;1.05;UN;41804.11;0;0;69353
200T STEEL SLING SH;MANILHA CROSBY G-2160 200 TN;73269090;1022118;1.05;UN;71435.36;0;0;118511
300T STEEL SLING SH;MANILHA CROSBY G-2160 300 TN;73269090;1022127;1.05;UN;121553.32;0;0;201657
G-2160E 75 TN ;MANILHA CROSBY G-2160E 75 TN;73269090;1021500;1.05;UN;20401.34;0;0;33846
G-2160E 200 TN ;MANILHA CROSBY G-2160E 200 TN;73269090;1021518;1.05;UN;62567.56;0;0;103800
G-2160E 300 TN ;MANILHA CROSBY G-2160E 300 TN;73269090;1021527;1.05;UN;126133.64;0;0;209256
G-2169 7T;7T SP SLING SHK    ;73269090;1021655;1.05;UN;437;0;0;725
G-2169 12.5T;12.5T SP SLING SHK ;73269090;1021673;1.05;UN;913.25;0;0;1515
G-2169 18T;18T SP SLING SHK   ;73269090;1021691;1.05;UN;1910.6;0;0;3170
G-4075 9-1/2T;9-1/2T SHACKLE PIN ;73269090;1082599;1.05;UN;199.29;0;0;331
G-4075 13-1/2T;13-1/2T SHACKLE PIN;73269090;1082633;1.05;UN;469.12;0;0;778
G-4075 17T;17T SHACKLE PIN    ;73269090;1082651;1.05;UN;539.91;0;0;896
G-4075 25T;25T SHACKLE PIN    ;73269090;1082679;1.05;UN;737.73;0;0;1224
G-4075 35T;35T SHACKLE PIN    ;73269090;1082697;1.05;UN;1465.36;0;0;2431
G-4075 55T;55T SHACKLE PIN    ;73269090;1082713;1.05;UN;1967.32;0;0;3264
G-4076 9-1/2T;9-1/2T SHKL PIN&CTR;73269090;1082232;1.05;UN;342.46;0;0;568
G-4076 12T;12 T SHKLE PIN&CTR ;73269090;1082250;1.05;UN;634.45;0;0;1053
G-4076 13-1/2T;13-1/2T SHKL PIN&CT;73269090;1082278;1.05;UN;692.59;0;0;1149
G-4076 17T;17 T SHKLE PIN&CTR ;73269090;1082296;1.05;UN;1090.61;0;0;1809
G-4076 25T;25 T SHKLE PIN&CTR ;73269090;1082312;1.05;UN;1438.81;0;0;2387
G-4076 35T;35 T SHKLE PIN&CTR ;73269090;1082330;1.05;UN;1774.45;0;0;2944
G-4077 9-1/2T;9-1/2T SHK BLT ASSY;73269090;1082839;1.05;UN;472.11;0;0;783
G-4077 12T;12T SHKL BOLT ASSY ;73269090;1082857;1.05;UN;881.36;0;0;1462
G-4077 13-1/2T;13-1/2T SHK BLT ASY;73269090;1082875;1.05;UN;1206.96;0;0;2002
G-4077 17T;17T SHKL BOLT ASSY ;73269090;1082893;1.05;UN;1573.57;0;0;2611
G-4077 25T;25T SHKL BOLT ASSY ;73269090;1082919;1.05;UN;1639.35;0;0;2720
G-4077 35T;35T SHKL BOLT ASSY ;73269090;1082937;1.05;UN;2548.26;0;0;4228
G-4077 55T;55T SHKL BOLT ASSY ;73269090;1082955;1.05;UN;3843.1;0;0;6376
G-4077 85T;85TN GL BLT HT ASSY;73269090;1084449;1.05;UN;9525.09;0;0;15802
G-4077 120T;120 TN GL BLT ASSY ;73269090;1084452;1.05;UN;19083.67;0;0;31660
G-4077 150-175T;150-175T GL BLT ASY;73269090;1084456;1.05;UN;35547.52;0;0;58973
G-4077 120/150T;120/150T GL BLT ASY;73269090;1084454;1.05;UN;15941.57;0;0;26447
G-4078 400T;400T GLV BLT,NT,CTR;73269090;1020068;1.05;UN;57401.66;0;0;95229
G-4078 30T;30T GLV BLT,NUT,CTR;73269090;1084409;1.05;UN;2067.4;0;0;3430
G-4078 40T;40T GLV BLT,NUT,CTR;73269090;1084418;1.05;UN;3264.31;0;0;5415
G-4078 55T;55T BOLT,NUT & CTR ;73269090;1084427;1.05;UN;4092.94;0;0;6790
G-4078 85T;85T GLV BLT,NUT,CTR;73269090;1084436;1.05;UN;7106.16;0;0;11789
G-4078 120T;120T GL BLT ASSY   ;73269090;1084445;1.05;UN;11726.41;0;0;19454
G-4078 175T;175T GL BLT ASY    ;73269090;1084463;1.05;UN;30358.1;0;0;50364
G-4089C 2 1/4;2 1/4 EZ LOC COLLAR;73269090;1025800;1.05;UN;1542.66;0;0;2559
G-4089C 2 5/8;2 5/8 EZ LOC COLLAR;73269090;1025819;1.05;UN;2628.19;0;0;4360
G-4089C 3 1/2;3 1/2 EZ LOC COLLAR;73269090;1025828;1.05;UN;5465.63;0;0;9067
G-4089C 4;4 EZ LOC COLLAR    ;73269090;1025837;1.05;UN;7097.79;0;0;11775
G-4089C 5 1/4;5 1/4 EZ LOC COLLAR;73269090;1025855;1.05;UN;11441.83;0;0;18982
ROV T HANDLE       ;ROV T HANDLE       ;73269090;1021306;1.05;UN;1505.84;0;0;2498
ROV F HANDLE       ;ROV F HANDLE       ;73269090;1021315;1.05;UN;2212.41;0;0;3670
ROV D HANDLE       ;ROV D HANDLE       ;73269090;1021324;1.05;UN;2212.41;0;0;3670
ROV EYE HANDLE     ;ROV EYE HANDLE     ;73269090;1021333;1.05;UN;1468.77;0;0;2437
"1.00T SPA SHK  3/8""";"1.00T SPA SHK  3/8""";73269090;1018706;1.05;UN;100.41;0;0;167
"1.50T SPA SHK 7/16""";"1.50T SPA SHK 7/16""";73269090;1018724;1.05;UN;110.78;0;0;184
"2.00T SPA SHK  1/2""";"2.00T SPA SHK  1/2""";73269090;1018742;1.05;UN;130.68;0;0;217
"3.25T SPA SHK  5/8""";"3.25T SPA SHK  5/8""";73269090;1018760;1.05;UN;235.21;0;0;390
"4.75T SPA SHK  3/4""";"4.75T SPA SHK  3/4""";73269090;1018778;1.05;UN;228.13;0;0;378
S-2135 85T ;MANILHA CROSBY S-2135 85 TN;73269090;1205009;1.05;UN;10521.56;0;0;17455
S-2135 120T ;MANILHA CROSBY S-2135 120 TN;73269090;1205018;1.05;UN;12901.73;0;0;21404
S-2135 150T ;MANILHA CROSBY S-2135 150 TN;73269090;1205027;1.05;UN;27425.91;0;0;45500
S-2135 200T ;MANILHA CROSBY S-2135 200 TN;73269090;1205036;1.05;UN;32483.14;0;0;53890
S-2135 250T ;MANILHA CROSBY S-2135 250 TN;73269090;1205045;1.05;UN;40824.83;0;0;67728
S-2135 300T ;MANILHA CROSBY S-2135 300 TN;73269090;1205054;1.05;UN;55444.81;0;0;91983
S-2135 400T ;MANILHA CROSBY S-2135 400 TN;73269090;1205063;1.05;UN;69680.1;0;0;115599
S-2145 120T ;MANILHA CROSBY S-2145 120 TN;73269090;1205072;1.05;UN;10449.95;0;0;17336
S-2145 150T ;MANILHA CROSBY S-2145 150 TN;73269090;1205081;1.05;UN;15207.01;0;0;25228
